window-size,NC               ,NB               ,KNN              ,DT
0.25       ,0.43741504283348 ,0.548420387742885,0.889221568669344,0.824339703924539
0.5        ,0.516125865788945,0.620405032820032,0.896182426656284,0.842780702569565
0.75       ,0.556140061747179,0.670662850947296,0.894492057044468,0.845261857533316
1          ,0.577656795023124,0.712761408179291,0.890576424264132,0.844229765087035
1.25       ,0.586238332241373,0.734078878513714,0.888057703853706,0.842233500592615
1.5        ,0.587980690664928,0.735182820504731,0.880436300356998,0.840381022899234
1.75       ,0.586287602536875,0.726234333545738,0.87563228807059 ,0.840043563574925
2          ,0.582329818125   ,0.71719675272488 ,0.869882422511497,0.830846203242839
2.25       ,0.57931429949703 ,0.711401350981916,0.865157808969662,0.829208321242562
2.5        ,0.57675659885763 ,0.706549432346668,0.861502960377395,0.827964414083236
2.75       ,0.573985793053218,0.702285676385035,0.859411812574497,0.822068240039332
3          ,0.571105270405383,0.695874483084987,0.854323602892298,0.812839820146883
3.25       ,0.568813537958136,0.690134550430641,0.848753818817904,0.81353327329689
3.5        ,0.5667183969809  ,0.683933842031207,0.843719116423542,0.81620082617101
3.75       ,0.564455568585929,0.679421423448239,0.841126200389882,0.80568203950746
4          ,0.561472977803439,0.674815963689203,0.836577947480644,0.805162787644358
4.25       ,0.558825601291193,0.670859108269933,0.834710817399476,0.799115264972354
4.5        ,0.556230948145315,0.665440841134579,0.832004922538787,0.798012443473237
4.75       ,0.554252385208219,0.660935296525842,0.829325558653102,0.795600884179893
5          ,0.552050276760588,0.657055473311832,0.826283689456292,0.795427390400426
5.25       ,0.550313393297164,0.654159535557182,0.823728243865137,0.785949119142714
5.5        ,0.548101387260583,0.650209211341788,0.821417551245973,0.791447878174765
5.75       ,0.5465245307045  ,0.647146323288289,0.819674378111375,0.78383861721708
6          ,0.544511518585213,0.643435712098781,0.815823190118991,0.779366507724022
6.25       ,0.542800867819158,0.640143826633117,0.81452127574187 ,0.780248532618537
6.5        ,0.540731598492507,0.63627576764381 ,0.811727996970849,0.777902107278271
6.75       ,0.538806699741378,0.633238317677751,0.808682741139692,0.781999415406883
7          ,0.537055896141708,0.630144723224931,0.806222348162046,0.769253038752715
